"requirement_id","source","requirement","role","object_or_area","execution_packet","implementation_status","verification_status","evidence"
"BP-ADM-001","Master Blueprint §9.1","Organization Admin workspace must provide organization","Organization Admin","organization","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-002","Master Blueprint §9.1","Organization Admin workspace must provide sites","Organization Admin","sites","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-003","Master Blueprint §9.1","Organization Admin workspace must provide facilities","Organization Admin","facilities","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-004","Master Blueprint §9.1","Organization Admin workspace must provide programs","Organization Admin","programs","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-005","Master Blueprint §9.1","Organization Admin workspace must provide teams","Organization Admin","teams","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-006","Master Blueprint §9.1","Organization Admin workspace must provide seasons","Organization Admin","seasons","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-007","Master Blueprint §9.1","Organization Admin workspace must provide people","Organization Admin","people","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-008","Master Blueprint §9.1","Organization Admin workspace must provide membership","Organization Admin","membership","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-009","Master Blueprint §9.1","Organization Admin workspace must provide roles","Organization Admin","roles","02","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-010","Master Blueprint §9.1","Organization Admin workspace must provide configuration","Organization Admin","configuration","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-011","Master Blueprint §9.1","Organization Admin workspace must provide compliance","Organization Admin","compliance","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-012","Master Blueprint §9.1","Organization Admin workspace must provide communications","Organization Admin","communications","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-013","Master Blueprint §9.1","Organization Admin workspace must provide reports","Organization Admin","reports","11","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-014","Master Blueprint §9.1","Team Manager workspace must provide my teams","Team Manager","my teams","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-015","Master Blueprint §9.1","Team Manager workspace must provide rosters","Team Manager","rosters","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-016","Master Blueprint §9.1","Team Manager workspace must provide athletes","Team Manager","athletes","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-017","Master Blueprint §9.1","Team Manager workspace must provide groups","Team Manager","groups","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-018","Master Blueprint §9.1","Team Manager workspace must provide programs","Team Manager","programs","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-019","Master Blueprint §9.1","Team Manager workspace must provide seasons","Team Manager","seasons","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-020","Master Blueprint §9.1","Team Manager workspace must provide staff","Team Manager","staff","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-021","Master Blueprint §9.1","Team Manager workspace must provide attendance","Team Manager","attendance","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-022","Master Blueprint §9.1","Team Manager workspace must provide training","Team Manager","training","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-023","Master Blueprint §9.1","Team Manager workspace must provide communication","Team Manager","communication","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-024","Master Blueprint §9.1","Team Manager workspace must provide competition preparation","Team Manager","competition preparation","06","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-025","Master Blueprint §9.1","Registrar workspace must provide registration queue","Registrar","registration queue","04","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-026","Master Blueprint §9.1","Registrar workspace must provide eligibility","Registrar","eligibility","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-027","Master Blueprint §9.1","Registrar workspace must provide membership","Registrar","membership","03","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-028","Master Blueprint §9.1","Registrar workspace must provide transfers","Registrar","transfers","04","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-029","Master Blueprint §9.1","Registrar workspace must provide duplicate resolution","Registrar","duplicate resolution","04","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-030","Master Blueprint §9.1","Registrar workspace must provide documents","Registrar","documents","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-031","Master Blueprint §9.1","Registrar workspace must provide waivers","Registrar","waivers","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-032","Master Blueprint §9.1","Registrar workspace must provide expirations","Registrar","expirations","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-033","Master Blueprint §9.1","Registrar workspace must provide approvals","Registrar","approvals","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-034","Master Blueprint §9.1","Registrar workspace must provide reports","Registrar","reports","11","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-035","Master Blueprint §9.1","Treasurer workspace must provide financial overview","Treasurer","financial overview","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-036","Master Blueprint §9.1","Treasurer workspace must provide AR","Treasurer","AR","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-037","Master Blueprint §9.1","Treasurer workspace must provide AP","Treasurer","AP","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-038","Master Blueprint §9.1","Treasurer workspace must provide invoices","Treasurer","invoices","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-039","Master Blueprint §9.1","Treasurer workspace must provide payments","Treasurer","payments","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-040","Master Blueprint §9.1","Treasurer workspace must provide registration revenue","Treasurer","registration revenue","04","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-041","Master Blueprint §9.1","Treasurer workspace must provide meet revenue","Treasurer","meet revenue","06","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-042","Master Blueprint §9.1","Treasurer workspace must provide expenses","Treasurer","expenses","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-043","Master Blueprint §9.1","Treasurer workspace must provide budget","Treasurer","budget","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-044","Master Blueprint §9.1","Treasurer workspace must provide cash flow","Treasurer","cash flow","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-045","Master Blueprint §9.1","Treasurer workspace must provide reconciliation","Treasurer","reconciliation","07","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-046","Master Blueprint §9.1","Treasurer workspace must provide financial reports","Treasurer","financial reports","11","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-047","Master Blueprint §9.1","Volunteer Coordinator workspace must provide volunteers","Volunteer Coordinator","volunteers","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-048","Master Blueprint §9.1","Volunteer Coordinator workspace must provide open positions","Volunteer Coordinator","open positions","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-049","Master Blueprint §9.1","Volunteer Coordinator workspace must provide availability","Volunteer Coordinator","availability","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-050","Master Blueprint §9.1","Volunteer Coordinator workspace must provide assignments","Volunteer Coordinator","assignments","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-051","Master Blueprint §9.1","Volunteer Coordinator workspace must provide credentials","Volunteer Coordinator","credentials","10","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-052","Master Blueprint §9.1","Volunteer Coordinator workspace must provide background checks","Volunteer Coordinator","background checks","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-053","Master Blueprint §9.1","Volunteer Coordinator workspace must provide hours","Volunteer Coordinator","hours","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-054","Master Blueprint §9.1","Volunteer Coordinator workspace must provide event staffing","Volunteer Coordinator","event staffing","05","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-055","Master Blueprint §9.1","Communications workspace must provide announcements","Communications","announcements","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-056","Master Blueprint §9.1","Communications workspace must provide email","Communications","email","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-057","Master Blueprint §9.1","Communications workspace must provide SMS","Communications","SMS","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-058","Master Blueprint §9.1","Communications workspace must provide templates","Communications","templates","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-059","Master Blueprint §9.1","Communications workspace must provide audiences","Communications","audiences","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-060","Master Blueprint §9.1","Communications workspace must provide teams","Communications","teams","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-061","Master Blueprint §9.1","Communications workspace must provide coaches","Communications","coaches","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-062","Master Blueprint §9.1","Communications workspace must provide officials","Communications","officials","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-063","Master Blueprint §9.1","Communications workspace must provide volunteers","Communications","volunteers","08","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-064","Master Blueprint §9.1","Communications workspace must provide scheduled messages","Communications","scheduled messages","09","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-065","Master Blueprint §9.1","Communications workspace must provide history","Communications","history","12/13/14","NOT YET RECONCILED","NOT RUN",""
"BP-ADM-066","Master Blueprint §9.1","Compliance workspace must provide credentials","Compliance","credentials","10","NOT YET RECONCILED","NOT RUN",""
